"","time","product_type","target_length","target_thickness","target_width","glue_type_specification","board_m3_per_hour","board_m3_per_hour_specification","is_nose_closed","line_speed","line_speed_specification","cost_urea_flow_indicator","cost_urea_flow_indicator_specification","cost_hardenener_flow_indicator","cost_hardenener_flow_indicator_specification","cost_emulsion_flow_indicator","cost_emulsion_flow_indicator_specification","cost_color_flow_indicator","cost_color_flow_indicator_specification","cost_water_flow_indicator","cost_water_flow_indicator_specification","cost_softwood_no_bark_indicator","cost_softwood_no_bark_indicator_specification","cost_sawdust_indicator","cost_sawdust_indicator_specification","cost_softwood_with_bark_indicator","cost_softwood_with_bark_indicator_specification","cost_hardwood_indicator","cost_hardwood_indicator_specification","cost_dust_wood_indicator","cost_dust_wood_indicator_specification","cost_trims_wood_indicator","cost_trims_wood_indicator_specification","cost_rejects_mix_wood_indicator","cost_rejects_mix_wood_indicator_specification","cost_additive_indicator","cost_additive_indicator_specification","cost_glue_indicator","cost_glue_indicator_specification","cost_wood_indicator","cost_wood_indicator_specification","cost_fixed_indicator","cost_fixed_indicator_specification","cost_indicator","cost_indicator_specification","cost_indicator_all","cost_indicator_all_specification","cost_black_flow_indicator","cost_black_flow_indicator_specification","cost_blue_flow_indicator","cost_blue_flow_indicator_specification","cost_color_indicator","cost_color_indicator_specification","cost_gluemix_indicator","cost_gluemix_indicator_specification","cost_refiner_electrical_energy_consumption_flow_indicator","cost_refiner_electrical_energy_consumption_flow_indicator_specification","cost_dryer_electrical_energy_consumption_flow_indicator","cost_dryer_electrical_energy_consumption_flow_indicator_specification","cost_steam_flow_with_3bar_for_precooker_indicator","cost_steam_flow_with_3bar_for_precooker_indicator_specification","cost_steam_flow_with_13bar_for_cooker_and_refiner_indicator","cost_steam_flow_with_13bar_for_cooker_and_refiner_indicator_specification","cost_steam_flow_with_0_5_bar_for_dryer_indicator","cost_steam_flow_with_0_5_bar_for_dryer_indicator_specification","cost_steam_flow_with_6bar_for_dryer_indicator","cost_steam_flow_with_6bar_for_dryer_indicator_specification","cost_steam_flow_with_27bar_for_dryer_indicator","cost_steam_flow_with_27bar_for_dryer_indicator_specification","cost_energy_indicator","cost_energy_indicator_specification","cost_electrical_energy_indicator","cost_electrical_energy_indicator_specification","cost_thermal_energy_indicator","cost_thermal_energy_indicator_specification","cost_refiner_electrical_energy_indicator","cost_refiner_electrical_energy_indicator_specification","cost_dryer_electrical_energy_indicator","cost_dryer_electrical_energy_indicator_specification","cost_flour_wood_indicator","cost_flour_wood_indicator_specification"
"7134",2024-02-07 16:00:00,"WBJEBWBB",6224.67176724516,16.3879734772257,3031.66165207885,"MD",64.4904981682935,51.9159960292448,TRUE,381.024597001906,424.634983502748,-4.67037873251648,0,-0.304781254371442,0,-3.17747966752798,0,NA,NA,0,0,-99.5961358015298,0,-14.1879847903687,0,0.918436540420975,0,-1.67207825731946,0,-0.215170791637996,0,0,0,0.436059573013703,0,-6.28346067858029,0,-47.9788775515326,0,-121.758855074902,0,2.74035842370785,0,-95.9937233213232,0,68.5715123432346,91.1156050501402,0.0104545713374122,0,0,0,NA,0,-48.8815791159875,0,NA,NA,NA,NA,-0.231742118094813,0,-0.0151751526020279,0,0.61559708038657,0,0.465730805286513,0,-0.650750505883385,0,-11.4296948103747,0,-11.0698474677109,0,0.429566370122368,0,-9.77158352996565,0,-2.27034610264387,0,0.392787846361197,0
"7135",2024-02-07 17:00:00,"WBJEBWBB",6224.67176724516,16.3879734772257,3031.66165207885,"MD",64.4904981682935,51.9159960292448,TRUE,381.024597001906,424.634983502748,-4.67037873251648,0,-0.304781254371442,0,-3.17747966752798,0,NA,NA,0,0,-99.5961358015298,0,-14.1879847903687,0,0.918436540420975,0,-1.67207825731946,0,-0.215170791637996,0,0,0,0.436059573013703,0,-6.28346067858029,0,-47.9788775515326,0,-121.758855074902,0,2.74035842370785,0,-96.0149486686024,0,68.5457637951161,91.1156050501402,0.0104545713374122,0,0,0,NA,0,-48.8815791159875,0,NA,NA,NA,NA,-0.261145357815207,0,-0.00212588437104433,0,0.624180719339861,0,0.516082373444735,0,-0.686976669839593,0,-11.4604583702189,0,-11.10851840173,0,0.43253206591282,0,-9.79944670934535,0,-2.2826884928007,0,0.392787846361197,0
"7136",2024-02-07 18:00:00,"WBJEBWBB",6224.67176724516,16.3879734772257,3031.66165207885,"MD",60.2477896791212,51.9159960292448,TRUE,355.296428839349,424.634983502748,-0.170060966893273,0,-0.0199965557254666,0,0.227570010810014,0,NA,NA,0,0,-39.0329043264204,0,-14.1879847903687,0,23.6097521151924,0,-1.67207825731946,0,-0.215170791637996,0,0,0,4.08260082118362,0,-0.25313033653763,0,-2.72894607770619,0,-18.5365561407488,0,7.33497468686654,0,-3.8239448985364,0,180.383015051552,91.1156050501402,0.0104545713374122,0,0,0,NA,0,-3.29981272747244,0,NA,NA,NA,NA,0.372785672267369,0,0.63560039408928,0,0.691476057646949,0,1.13421634001265,0,-0.5225240168579,0,1.54825542067045,0,0.87146927493384,0,1.92161496484748,0,3.35392004549334,0,-1.17568900698608,0,5.82386259706367,0
"7137",2024-02-07 19:00:00,"RZRSHUWP",6544.37268527199,16.3879734772257,3031.66165207885,"MD",60.2688925538662,52.4498056011048,TRUE,355.42439858121,428.552807953744,-0.084826861125977,0,-0.015491492270871,0,0.262407325126187,0,NA,NA,0,0,-37.5435846786716,0,-14.0382435260904,0,23.7676543723839,0,-1.65443099338997,0,-0.212899859800128,0,0,0,4.08125007977504,0,-0.159791429546004,0,-2.13148846830894,0,-16.6183733465992,0,7.9830891453843,0,-1.71136899433274,0,181.020014048432,90.1870605133842,0.0104545713374122,0,0,0,NA,0,-2.6772926419551,0,NA,NA,NA,NA,0.407115035180537,0,0.721113806062355,0,0.619179508796612,0,1.24730267928061,0,-0.480315133873665,0,2.01353463052591,0,1.16751505287817,0,2.05796356317862,0,3.25324276532296,0,-0.892557070470481,0,5.81347453834543,0
"7138",2024-02-07 20:00:00,"RZRSHUWP",6544.37268527199,16.3879734772257,3031.66165207885,"MD",63.4350967646867,52.4498056011048,TRUE,374.624547396732,428.552807953744,0.244700992820108,0,0.00545080294757228,0,0.264863974566581,0,NA,NA,0,0,-30.8968855311731,0,-14.0382435260904,0,26.2623277258287,0,-1.65443099338997,0,-0.212899859800128,0,0,0,3.88933088213127,0,0.112656080883111,0,1.66684442372076,0,-7.05944271012176,0,4.49538336621643,0,2.85514248319567,0,186.559666190104,90.1870605133842,0.0104545713374122,0,0,0,NA,0,0.796487988747655,0,NA,NA,NA,NA,0.35908866855349,0,0.558183520688379,0,0.587401514036989,0,1.36640249196598,0,-0.455925289524265,0,2.01166730316684,0,1.36641294986939,0,1.93188754653594,0,4.22526760271689,0,-1.32697560780427,0,5.5558554418159,0
"7139",2024-02-07 21:00:00,"RZRSHUWP",6544.37268527199,16.3879734772257,3031.66165207885,"MD",63.4350967646867,52.4498056011048,TRUE,374.624547396732,428.552807953744,0.044145580522208,0,-0.00781273424410936,0,0.151322584147342,0,NA,NA,0,0,-34.6016562761113,0,-14.0382435260904,0,24.8742542636446,0,-1.65443099338997,0,-0.212899859800128,0,0,0,3.88933060356302,0,-0.130261266893581,0,-0.718710925722923,0,-12.7179133096694,0,4.49538336621643,0,-1.61488097130995,0,181.137064029805,90.1870605133842,0.0104545713374122,0,0,0,NA,0,-1.49348938594274,0,NA,NA,NA,NA,0.355669294485305,0,0.550437901121023,0,0.648751905359408,0,1.17756388082866,0,-0.475609593965249,0,1.70724806864303,0,1.15444054617278,0,1.85414553146283,0,3.74044595336234,0,-1.19510611488828,0,5.53204273404427,0
"7140",2024-02-07 22:00:00,"RZRSHUWP",6544.37268527199,16.3879734772257,3031.66165207885,"MD",63.4350967646867,52.4498056011048,TRUE,374.624547396732,428.552807953744,0.244700992820108,0,0.00418758929268968,0,0.196739073786815,0,NA,NA,0,0,-31.7813394361298,0,-14.0382435260904,0,25.9309480561574,0,-1.65443099338997,0,-0.212899859800128,0,0,0,3.88933060356302,0,0.0651869578294707,0,1.04837056222631,0,-8.40863837924377,0,4.49538336621643,0,1.39436566998609,0,184.787592378043,90.1870605133842,0.0104545713374122,0,0,0,NA,0,0.226175778953098,0,NA,NA,NA,NA,0.37874987222382,0,0.586953079415332,0,0.585599367803176,0,1.09646580803513,0,-0.447963110976678,0,1.38851163848929,0,0.843194753419964,0,1.82877428627659,0,3.57033224337539,0,-1.32697560780427,0,5.55188437102104,0
"7141",2024-02-07 23:00:00,"FPCNLSLS",6544.37268527199,14.5872285330202,3031.66165207885,"MD",64.258310002648,53.3685627153704,TRUE,425.824944238124,482.540524080319,0.00644310612533758,0,-0.00459198582829322,0,0.0899361745241724,0,NA,NA,0,0,-35.0252247222142,0,-14.1084347437208,0,26.0020399742808,0,-1.66270314835692,0,-0.213964359099129,0,0,0,3.84269708689389,0,-0.199807220089534,0,-0.548150471098214,0,-11.9268334253357,0,4.77300696087751,0,-1.11181269919134,0,181.290677142821,89.9668738183462,0.0104545713374122,0,0,0,NA,0,-1.4607982994096,0,NA,NA,NA,NA,0.356055757539368,0,0.599139807030666,0,0.511122798489553,0,1.11071000890696,0,-0.486186873014762,0,1.55690532481262,0,1.15651366580262,0,1.74877320507143,0,3.93439019305974,0,-1.31007051974441,0,5.48613256265394,0
"7142",2024-02-08,"FPCNLSLS",6544.37268527199,14.5872285330202,3031.66165207885,"MD",64.258310002648,53.3685627153704,TRUE,425.824944238124,482.540524080319,0.253751611579531,0,0.0084923758804516,0,0.24674746229869,0,NA,NA,0,0,-31.6821568491613,0,-14.1084347437208,0,27.3121016651814,0,-1.66270314835692,0,-0.213964359099129,0,0,0,3.84269736170031,0,0.109214440585943,0,1.89234813186131,0,-6.79921336070474,0,4.77300696087751,0,3.24831106321407,0,186.57995957586,89.9668738183462,0.0104545713374122,0,0,0,NA,0,0.97314829734639,0,NA,NA,NA,NA,0.340876476359119,0,0.515088210767479,0,0.589182865707232,0,1.25309801289236,0,-0.470186654865475,0,1.9583572578577,0,1.50202239942208,0,1.80990689066914,0,4.12457984027222,0,-1.16449506248813,0,5.45480991872721,0
"7143",2024-02-08 01:00:00,"FPCNLSLS",6544.37268527199,14.5872285330202,3031.66165207885,"MD",64.258310002648,53.3685627153704,TRUE,425.824944238124,482.540524080319,0.0888790906007639,0,-0.00895341886964538,0,0.0899361745241724,0,NA,NA,0,0,-35.312986216623,0,-14.1084347437208,0,25.889273973575,0,-1.66270314835692,0,-0.213964359099129,0,0,0,3.84269708689389,0,-0.138050743074375,0,-0.635312317412825,0,-12.4052166845761,0,4.77300696087751,0,-1.08322293853239,0,181.325359488336,89.9668738183462,0.0104545713374122,0,0,0,NA,0,-1.43797948712254,0,NA,NA,NA,NA,0.35858562847139,0,0.533644987544373,0,0.566705216869548,0,1.02030968554778,0,-0.490259678043597,0,1.92555819824898,0,1.67311469006476,0,1.67986353027722,0,4.1273764877218,0,-1.03750370615819,0,5.45089585683897,0
