Time,Density (kg/m³),Resin Loading (g/m²),Temperature (°C),Moisture Content (%),Press Pressure (bar),Press Time (sec),Particle Size (mm),Resin Type,IB (MPa),MOR (MPa),TS (%),Outside Temperature (°C),Sawdust Humidity (%),Curing Time (sec),Cooling Time (sec),Cutting Speed (m/min),Warehouse Humidity (%),Material Waste (%),Energy Consumption (kWh),Wood Species Mix Ratio,Resin Hardener Ratio,Press Closure Speed (mm/s),Hot Press Plate Surface Temperature (°C),Pre-press Mat Moisture Content (%),Post-press Board Cooling Rate (°C/min),Dust Extraction Efficiency (%),Resin Penetration Depth (mm),Mat Forming Consistency (%),Board Edge Integrity (rating),Trim Waste Percentage (%),Additive Dosage (g/kg),Screening Efficiency (%),Blending Time for Particles and Resin (min),Mat Pre-heating Temperature (°C),Compression Ratio,Panel Surface Roughness (μm),Formaldehyde Scavenger Addition (g/kg),Sawdust Particle Distribution Uniformity (rating)
2022-03-13,669.16,103.57,222.78,9.94,390.02,37.19,2.24,Urea-formaldehyde,0.71,28.98,22.49,27.08,14.83,130.94,89.9,52.5,48.2,1.12,1363.9,0.3,0.045,10.77,192.8,6.67,4.46,92.4,3.53,91.1,Poor,4.96,14.27,92.1,10.1,101.1,1.63,98.0,5.27,Non-uniform
2022-05-29,754.84,300.0,212.84,6.99,314.78,30.83,2.14,Phenol-formaldehyde,0.57,23.87,12.79,25.86,11.05,147.08,37.81,72.59,31.91,4.72,1399.54,0.59,0.023,11.84,227.4,5.62,4.68,95.9,1.27,99.9,Poor,4.37,6.7,81.4,5.9,92.3,1.77,40.0,7.01,Uniform
2022-09-10,718.77,149.97,213.39,9.71,335.64,35.79,2.07,Urea-formaldehyde,0.3,38.04,15.74,8.87,14.31,163.93,50.75,83.87,38.95,1.78,1222.28,0.65,0.031,9.86,185.7,8.5,2.26,95.9,3.32,94.0,Fair,2.39,12.83,94.9,5.5,102.6,2.55,18.0,8.58,Uniform
2022-06-27,607.57,157.12,219.28,11.57,328.78,33.83,0.96,Urea-formaldehyde,0.6,36.43,14.73,2.48,6.34,71.57,57.56,73.65,44.79,3.85,879.87,0.51,0.035,19.39,197.7,7.3,3.19,98.7,3.63,98.8,Good,0.66,1.12,85.0,15.0,83.0,2.53,73.0,3.52,Non-uniform
2022-05-03,717.88,124.95,210.19,10.13,321.77,20.05,1.1,Phenol-formaldehyde,0.58,35.29,16.35,-0.63,14.54,85.01,72.33,87.66,48.78,0.78,755.3,0.18,0.019,11.15,205.3,8.56,4.95,96.2,1.47,92.4,Fair,4.81,1.34,91.5,13.1,84.0,2.72,57.0,0.36,Non-uniform
2022-04-18,702.17,195.26,198.93,6.41,308.42,36.15,0.62,Phenol-formaldehyde,0.67,49.25,21.38,27.56,11.13,128.95,49.84,68.93,48.27,3.31,957.03,0.73,0.028,15.09,208.1,5.97,4.47,91.3,4.67,98.9,Good,2.69,11.96,84.2,12.8,111.0,2.2,26.0,7.89,Non-uniform
2022-06-09,660.72,257.35,228.26,11.9,314.91,39.12,1.17,Urea-formaldehyde,0.5,20.27,19.28,18.81,9.71,101.7,74.92,91.56,49.92,3.56,1317.63,0.51,0.037,14.89,222.5,8.74,1.61,96.6,3.17,98.4,Excellent,1.54,16.82,84.8,11.4,112.9,1.6,75.0,3.73,Uniform
2022-06-12,669.47,224.35,213.68,5.4,337.7,20.5,1.14,Phenol-formaldehyde,0.36,41.8,16.45,8.46,6.66,81.18,72.41,87.57,30.12,4.18,943.74,0.91,0.02,12.77,227.4,8.68,4.04,90.2,2.66,98.4,Fair,2.04,2.95,85.0,14.6,101.5,2.14,87.0,0.43,Non-uniform
2022-10-09,626.33,209.35,217.45,6.35,310.77,25.46,1.44,Melamine,0.35,41.23,21.34,23.85,14.74,61.74,59.96,82.31,48.77,0.23,1183.88,0.44,0.01,5.03,220.3,8.78,3.72,91.6,3.94,99.3,Good,0.46,13.22,86.9,6.4,97.2,2.79,44.0,4.07,Uniform
2022-09-30,643.74,159.57,217.12,11.46,372.19,27.88,1.56,Phenol-formaldehyde,0.39,48.9,18.45,-2.79,8.82,73.02,81.91,67.31,41.74,4.6,599.46,0.39,0.028,11.57,227.2,7.14,3.38,92.0,2.21,92.4,Fair,1.87,13.2,84.5,7.8,113.7,1.84,39.0,9.76,Non-uniform
2022-02-11,609.45,111.13,201.76,7.8,349.95,31.69,2.88,Urea-formaldehyde,0.75,31.4,10.81,12.53,12.93,164.19,37.43,53.0,43.77,1.83,1335.18,0.34,0.048,15.21,189.8,8.39,1.46,93.0,2.72,97.5,Fair,2.7,12.81,94.8,12.4,103.7,2.56,97.0,0.43,Non-uniform
2022-10-20,738.81,256.36,216.18,7.01,332.05,28.58,3.0,Melamine,0.62,39.22,13.38,26.85,5.42,108.85,37.87,79.86,41.05,0.92,778.1,0.59,0.029,11.05,180.2,8.51,4.66,95.4,4.04,90.9,Good,2.79,14.46,85.2,14.8,92.9,1.66,10.0,4.11,Non-uniform
2022-07-12,748.39,219.51,190.79,7.28,304.38,25.32,0.79,Melamine,0.69,44.61,24.19,18.7,12.59,113.73,50.33,55.76,30.15,4.83,1352.45,0.22,0.023,15.84,219.2,10.49,4.98,92.0,4.77,99.7,Poor,0.59,9.85,84.8,11.2,80.1,1.74,41.0,7.31,Uniform
2022-12-01,674.28,256.25,227.47,11.36,395.17,32.4,1.64,Melamine,0.45,25.42,8.46,22.88,7.41,175.59,43.58,76.55,36.66,2.76,759.21,0.2,0.012,18.39,204.4,7.27,3.6,98.1,3.83,91.3,Excellent,4.05,5.57,85.5,7.6,92.4,1.56,55.0,4.17,Uniform
2022-08-17,686.33,206.41,181.86,5.65,369.24,25.33,2.05,Urea-formaldehyde,0.54,26.65,24.5,13.02,10.58,131.22,46.81,61.07,41.98,0.67,860.01,0.12,0.03,8.57,224.2,5.55,3.42,95.2,2.55,92.7,Fair,4.09,15.47,98.9,9.8,83.8,1.92,48.0,6.71,Uniform
2022-10-21,777.43,144.43,227.82,10.2,346.33,23.71,0.51,Urea-formaldehyde,0.7,29.05,21.0,26.25,9.66,65.49,79.24,64.84,36.87,2.9,1013.35,0.14,0.034,7.7,185.9,7.77,1.04,91.0,3.01,97.2,Excellent,0.17,8.46,80.6,6.3,119.8,2.71,78.0,2.92,Uniform
2022-07-01,682.84,188.07,200.18,7.93,365.91,20.4,1.54,Phenol-formaldehyde,0.8,49.07,15.04,6.71,5.55,114.82,66.94,90.09,33.26,2.68,761.92,0.71,0.031,6.45,215.6,6.22,3.43,91.4,2.03,90.4,Good,1.54,13.19,97.4,14.4,90.1,2.43,44.0,0.77,Uniform
2022-04-20,654.35,204.64,209.97,9.5,353.13,39.1,0.53,Melamine,0.4,43.8,23.28,18.96,7.14,159.53,48.31,71.27,45.21,3.57,1143.3,0.78,0.031,7.29,219.1,8.54,4.7,93.1,1.22,97.4,Excellent,0.91,10.56,80.3,11.0,94.7,2.56,11.0,1.61,Uniform
2022-03-15,653.64,157.56,196.94,9.75,316.67,33.09,1.98,Melamine,0.66,36.47,24.91,25.56,9.85,81.67,58.72,59.76,34.95,4.23,943.62,0.75,0.03,9.81,194.9,6.25,3.13,94.7,4.27,96.0,Excellent,3.09,19.1,82.2,11.0,93.9,2.3,18.0,7.06,Uniform
2022-08-22,691.17,298.86,186.32,9.99,317.08,34.53,0.95,Melamine,0.75,42.0,19.49,22.53,10.19,143.18,74.77,55.22,43.93,2.52,760.84,0.21,0.023,5.82,193.2,5.1,2.82,96.7,4.08,96.3,Good,3.77,17.05,85.7,5.3,110.3,2.6,76.0,3.99,Uniform
2022-07-23,726.95,264.35,221.47,5.21,330.92,35.02,2.96,Phenol-formaldehyde,0.59,45.06,15.59,13.74,11.71,100.05,30.17,90.64,41.81,1.47,562.04,0.67,0.039,19.83,221.0,7.32,2.11,93.5,3.38,97.6,Excellent,2.44,14.28,90.2,11.7,112.0,1.9,98.0,1.95,Uniform
2022-02-24,670.9,107.53,204.78,7.36,383.91,29.83,1.94,Melamine,0.51,49.38,21.57,10.16,12.91,100.73,85.53,77.53,44.02,2.79,802.29,0.74,0.038,8.45,218.9,10.92,3.56,95.1,4.56,94.8,Fair,3.54,3.14,97.9,14.2,89.1,2.52,17.0,8.76,Non-uniform
2022-12-18,637.41,236.71,190.4,6.07,399.01,27.18,2.69,Phenol-formaldehyde,0.63,30.81,21.54,8.87,7.25,136.41,55.83,75.3,48.93,2.94,1218.17,0.75,0.031,18.17,215.0,10.43,1.28,96.9,1.02,96.4,Fair,0.24,7.84,80.8,7.5,84.8,3.0,17.0,1.68,Uniform
2022-06-11,747.74,131.26,202.13,11.38,357.07,30.35,2.52,Phenol-formaldehyde,0.48,20.05,16.13,4.69,11.85,158.23,68.66,70.57,32.36,4.5,872.71,0.68,0.021,7.62,198.8,8.82,3.77,98.2,3.0,90.2,Poor,4.43,11.92,89.0,7.1,80.7,2.11,65.0,2.19,Non-uniform
2022-12-16,706.54,151.33,189.34,9.39,353.43,26.42,2.87,Melamine,0.62,40.44,19.51,26.96,11.24,178.05,83.56,53.95,45.14,0.01,531.16,0.45,0.027,16.69,204.5,9.44,2.74,90.3,3.43,91.6,Good,4.78,9.51,93.4,10.4,112.5,2.69,21.0,4.45,Uniform
2022-05-29,742.01,155.26,198.13,11.63,370.12,32.59,0.55,Urea-formaldehyde,0.66,31.54,13.06,-4.24,11.83,140.73,62.73,80.39,43.42,0.49,762.4,0.61,0.024,10.9,225.9,5.07,1.54,96.1,4.95,93.5,Excellent,4.53,18.39,81.3,13.7,83.4,2.78,87.0,5.71,Uniform
2022-09-19,784.35,161.95,198.92,10.88,355.2,27.78,2.85,Urea-formaldehyde,0.6,28.57,16.31,31.61,8.1,75.07,75.71,56.75,42.83,1.35,930.79,0.24,0.036,15.52,211.2,9.04,1.53,90.4,3.25,93.0,Excellent,2.85,15.98,89.1,11.9,87.2,1.61,36.0,4.31,Non-uniform
2022-10-13,773.67,290.66,195.49,9.02,331.82,31.91,2.9,Phenol-formaldehyde,0.48,35.75,20.18,34.44,13.69,152.52,78.23,62.94,44.51,2.1,1260.94,0.79,0.03,12.71,221.1,7.79,4.52,98.5,2.09,96.9,Poor,0.64,13.03,90.5,12.1,95.9,2.84,50.0,6.04,Non-uniform
2022-11-28,755.62,234.8,181.72,9.79,348.37,23.97,1.17,Phenol-formaldehyde,0.38,20.53,12.42,12.32,5.87,124.38,75.01,88.18,45.43,0.42,738.49,0.42,0.018,12.74,221.0,8.72,3.44,97.2,1.87,97.1,Good,2.89,16.62,83.0,13.4,117.4,2.0,46.0,6.55,Non-uniform
2022-07-31,736.88,244.64,193.13,5.67,396.66,27.76,1.99,Urea-formaldehyde,0.78,48.91,9.04,30.25,5.46,173.95,83.8,80.88,41.34,0.48,1004.83,0.91,0.014,17.15,220.2,7.18,1.19,96.2,4.37,99.8,Fair,0.53,7.41,97.1,10.9,100.9,2.16,88.0,5.42,Non-uniform
2022-04-12,698.78,207.32,222.04,9.06,309.16,33.41,1.09,Melamine,0.66,35.58,15.22,3.47,9.52,103.37,58.47,85.33,47.69,2.49,1345.5,0.11,0.05,12.97,225.5,6.41,1.99,90.1,1.04,98.3,Good,1.38,8.03,98.0,5.9,81.2,2.65,96.0,1.84,Non-uniform
2022-07-24,680.56,104.21,181.56,11.57,330.82,32.83,2.7,Melamine,0.39,21.81,9.46,4.41,13.8,170.29,60.53,76.52,40.74,1.59,1499.11,0.21,0.029,15.58,207.0,9.15,4.04,94.6,2.25,97.5,Poor,4.75,9.29,95.9,12.9,119.3,2.41,21.0,6.58,Uniform
2022-01-24,758.68,159.85,212.55,7.08,399.38,35.98,0.99,Urea-formaldehyde,0.8,43.01,12.8,20.28,14.03,119.08,68.41,99.99,46.3,4.19,1412.12,0.26,0.043,19.16,214.6,11.23,4.1,92.6,2.42,99.8,Poor,3.3,8.07,80.7,11.2,99.9,2.2,66.0,2.44,Uniform
2022-08-19,751.61,134.79,221.31,9.35,364.84,31.62,0.73,Urea-formaldehyde,0.56,31.84,16.21,32.34,6.64,173.61,68.44,75.09,46.95,1.63,1025.31,0.76,0.036,13.26,218.1,5.8,2.14,97.2,3.17,94.2,Poor,2.65,18.05,93.2,13.3,105.3,2.41,82.0,6.99,Non-uniform
2022-09-14,603.66,222.13,196.31,9.58,324.83,35.62,0.71,Urea-formaldehyde,0.78,42.72,20.71,21.42,14.43,91.71,64.81,65.53,34.83,2.34,1218.52,0.3,0.038,15.82,225.1,6.68,3.61,97.4,2.96,94.4,Excellent,0.81,13.64,97.2,13.0,91.9,2.04,50.0,0.42,Uniform
2022-07-15,707.52,251.1,221.62,9.8,356.48,24.61,2.26,Phenol-formaldehyde,0.73,48.14,24.99,4.56,5.37,107.25,67.86,83.17,34.24,4.32,1416.97,0.62,0.031,18.46,221.2,11.53,1.34,98.2,4.7,93.4,Good,2.08,2.24,83.4,11.6,116.6,2.83,56.0,9.64,Non-uniform
2022-04-25,614.5,254.64,215.1,6.26,386.67,33.27,1.03,Melamine,0.4,49.57,20.09,32.69,9.71,177.99,59.25,75.46,47.09,4.6,860.03,0.7,0.044,13.96,186.9,9.73,3.09,95.5,4.93,94.0,Fair,1.29,17.79,90.4,10.2,88.5,2.68,75.0,1.59,Non-uniform
2022-10-01,637.45,226.53,187.52,10.72,395.91,26.08,1.71,Urea-formaldehyde,0.4,25.91,22.0,8.09,5.8,75.59,74.33,77.67,41.01,2.61,887.82,0.78,0.021,17.35,185.7,9.15,3.51,94.4,4.44,97.5,Poor,2.52,4.58,88.5,5.8,85.7,1.56,18.0,9.66,Uniform
2022-11-27,701.61,218.8,227.83,10.24,353.06,21.54,0.51,Melamine,0.51,42.08,24.48,19.28,5.95,97.31,51.28,97.3,35.82,0.28,667.37,0.97,0.016,6.04,195.9,9.73,1.77,93.1,2.12,98.5,Excellent,4.63,12.22,97.4,7.4,113.0,2.51,70.0,9.57,Uniform
